@relation 'train-weka.filters.unsupervised.attribute.Remove-V-R28,61,67,86,130,145,147,176,232,235,287,310,332,426,470,481,649-650,873,886,1205,1769,1'

@attribute D27 numeric
@attribute D60 numeric
@attribute D66 numeric
@attribute D85 numeric
@attribute D129 numeric
@attribute D144 numeric
@attribute D146 numeric
@attribute D175 numeric
@attribute D231 numeric
@attribute D234 numeric
@attribute D286 numeric
@attribute D309 numeric
@attribute D331 numeric
@attribute D425 numeric
@attribute D469 numeric
@attribute D480 numeric
@attribute D648 numeric
@attribute D649 numeric
@attribute D872 numeric
@attribute D885 numeric
@attribute D1204 numeric
@attribute D1768 numeric
@attribute Activity numeric

@data
1,0,0.0271,0,0,0,0,0.142939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0689,0.161739,0.0209,0.0526,0,0.47619,0.0903,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0275,0,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0294,0,0,0,0,0,0.209811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0294,0,0.0467,0,0,0,0.105755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.126737,0.00953,0.105263,0,0.142857,0.103358,0.5,0,0,0,0,0,0,0,0,0.0833,0,0,0,0,0
0,0.00621,0.21776,0,0,0,0.238095,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0464,0,0,0,0.285714,0.135086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0.0947,0.157895,0,0,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
0,0.0719,0,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.115998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.215966,0,0.00696,0.157895,0,0.166667,0.269918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.184629,0,0,0,0.0238,0.103358,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0,1
1,0.0588,0.0136,0,0,0,0.0714,0.186718,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1
1,0.0294,0,0,0,0,0,0.128596,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0.123312,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,1
