@relation InstanceResultListener

@attribute Key_Dataset {train-weka.filters.unsupervised.attribute.Remove-R1}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.GaussianProcesses}
@attribute Key_Scheme_options {'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"','-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.NormalizedPolyKernel -C 250007 -E 2.0\"','-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"'}
@attribute Key_Scheme_version_ID {-8620066949967678545}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureKernelEvaluations numeric
@attribute measureCacheHits numeric

@data

train-weka.filters.unsupervised.attribute.Remove-R1,1,1,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0532,1579,163,124.056824,245.497651,55.812512,72.413688,0.718573,1166.088049,3344.083914,-2177.995865,7.153914,20.515852,-13.361938,5.823,0.429,5.574164,0.423693,36425832,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,1,2,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0532,1579,160,121.687965,228.24851,52.959282,67.911306,0.787823,1133.180987,2846.600836,-1713.419849,7.082381,17.791255,-10.708874,5.965,0.424,5.705289,0.423415,36502896,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,1,3,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0532,1579,150,83.860002,128.045939,44.364996,51.332742,0.887702,1027.122746,4153.846247,-3126.723501,6.847485,27.692308,-20.844823,6.002,0.427,5.677735,0.426822,36760816,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,1,4,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0532,1579,163,93.432536,171.718676,47.917847,60.81434,0.832529,1153.735149,4300.402232,-3146.667083,7.07813,26.382836,-19.304706,5.922,0.431,5.680262,0.428171,36425832,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,1,5,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0532,1579,158,118.599012,219.989341,53.843864,67.833966,0.775804,1102.23951,3235.257708,-2133.018198,6.976199,20.476315,-13.500115,5.804,0.417,5.586739,0.416397,36554352,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,1,6,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0532,1580,163,115.248537,261.737253,56.841845,78.947131,0.646409,1110.753056,4376.551642,-3265.798586,6.814436,26.85001,-20.035574,5.793,0.415,5.549053,0.414431,36425832,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,1,7,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0532,1580,161,111.257974,236.029937,52.874796,72.222323,0.726775,1124.168653,4064.944391,-2940.775739,6.982414,25.248102,-18.265688,5.947,0.413,5.533537,0.412709,36477192,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,1,8,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1580,158,125.551873,283.516353,53.332632,73.348918,0.734251,1112.301915,4328.167178,-3215.865263,7.039886,27.393463,-20.353578,5.792,0.418,5.573904,0.41782,36554352,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,1,9,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1580,156,90.364468,140.996827,48.316118,58.354678,0.836593,1065.91836,2303.859324,-1237.940964,6.83281,14.768329,-7.935519,5.969,0.42,5.649404,0.419928,36605872,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,1,10,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1580,162,98.136809,162.47222,51.612629,60.863762,0.822414,1117.822842,4283.229805,-3165.406963,6.900141,26.43969,-19.539549,5.878,0.418,5.658093,0.417064,36451504,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,1,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1579,165,96.556886,172.741338,47.127493,59.494667,0.829271,1158.241251,4360.033142,-3201.791891,7.019644,26.424443,-19.404799,5.741,0.418,5.519106,0.416857,36374536,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,2,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1579,163,107.368015,182.856138,54.786083,63.321225,0.826186,1135.690071,3275.60192,-2139.911849,6.967424,20.095717,-13.128294,5.848,0.416,5.532034,0.415711,36425832,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,3,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1579,157,113.725105,196.058195,49.390541,59.006663,0.869517,1118.797082,3228.214563,-2109.417481,7.126096,20.561876,-13.43578,5.976,0.411,5.594464,0.410753,36580104,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,4,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1579,159,119.859178,207.204682,52.684204,61.451303,0.842557,1119.822046,2199.867172,-1080.045126,7.042906,13.835643,-6.792737,5.815,0.421,5.595851,0.421211,36528616,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,5,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1579,160,122.776392,286.12271,51.35585,73.513126,0.701523,1155.448399,4324.514588,-3169.066189,7.221552,27.028216,-19.806664,5.902,0.428,5.58186,0.427512,36502896,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,6,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1580,158,98.789193,228.737471,51.465136,76.58591,0.664423,1079.549651,4302.087274,-3222.537622,6.832593,27.2284,-20.395808,5.959,0.411,5.568641,0.410315,36554352,4348974,509109,?,?,?
